question,answer,rewritten_query,gen_enhanced_k5_persona_mpnet,ctx_count_used,contexts
What are dark leopards known as colloquially?,Black Panthers,What are dark leopards known as colloquially?,Black Panthers,5,"{'passage': ""The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers."", 'id': 2445}
---
{'passage': 'Most other colour morphs of leopards are known only from paintings or museum specimens. There have been very rare examples where the spots of a normal black leopard have coalesced to give a jet black leopard with no visible markings. Pseudo-melanism (abundism) occurs in leopards. The spots are more densely packed than normal and merge to largely obscure the background colour. They may form swirls and, in some places, solid black areas. Unlike a true black leopard the tawny background colour is visible in places. One pseudo-melanistic leopard had a tawny orange coat with coalescing rosettes and spots, but white belly with normal black spots (like a black-and-tan dog).', 'id': 2479}
---
{'passage': 'A melanistic morph of the leopard occurs particularly in mountainous areas and rain forests. The black color is heritable and caused by only one recessive gene locus. In some regions, for example on the Malayan Peninsula, up to half of all leopards are black. In Africa black leopards seem to be most common in the Ethiopian Highlands. While they are commonly called black panthers, the term is not applied exclusively to leopards. Black leopards are less successful on the African plains because their colouration makes them stand out.', 'id': 2456}
---
{'passage': ""Traditionally, the leopard is an uncommon name or mascot for sporting teams, though it has been used in several African soccer teams: the AFC Leopards, formed in 1964, are a soccer club based in Nairobi, Kenya, while the Black Leopards play in South Africa's Premier Soccer League, the Royal Leopards in Swaziland's Premier League, and the Golf Leopards in the Sierra Leone National Premier League. More recently, the leopard emblem has been a part of the English Basketball League since the 1990s with the Essex Leopards and later London Leopards. The New Zealand Rugby League has featured the Otahuhu Leopards and then the Tamaki Leopards."", 'id': 2500}
---
{'passage': 'A pseudo-melanistic leopard has a normal background colour, but its excessive markings have coalesced so that its back seems to be an unbroken expanse of black. In some specimens, the area of solid black extends down the flanks and limbs; only a few lateral streaks of golden-brown indicate the presence of normal background colour. Any spots on the flanks and limbs that have not merged into the mass of swirls and stripes are unusually small and discrete, rather than forming rosettes. The face and underparts are paler and dappled like those of ordinary spotted leopards.', 'id': 2477}"
Is Liechtenstein heavily urbanized?,No.,Is Liechtenstein heavily urbanized?,It is not heavily urbanized.,5,"{'passage': 'The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.', 'id': 2817}
---
{'passage': ""Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners."", 'id': 2856}
---
{'passage': ""Liechtenstein participates in a customs union with Switzerland and employs the Swiss franc as national currency. The country imports more than 90% of its energy requirements. Liechtenstein has been a member of the European Economic Area (an organization serving as a bridge between the European Free Trade Association (EFTA) and the European Union) since May 1995 . The government is working to harmonize its economic policies with those of an integrated Europe. Since 2002, Liechtenstein's rate of unemployment has doubled, although it stood at only 2.2% in the third quarter of 2004. Currently, there is only one hospital in Liechtenstein, the Liechtensteinisches Landesspital in Vaduz. The GDP (PPP) is $1.786 billion CIA World Factbook ( link)  and $25,000 per person."", 'id': 2852}
---
{'passage': 'As a result of its small size Liechtenstein has been strongly affected by external cultural influences, most notably those originating in the southern German-speaking areas of Europe, including Austria, Bavaria, Switzerland, and Tyrol. The Historical Society of the Principality of Liechtenstein plays a role in preserving the culture and history of the country.', 'id': 2864}
---
{'passage': 'Liechtenstein is one of only two doubly landlocked countries in the worldâ\x80\x94being a landlocked country wholly surrounded by other landlocked countriesâ\x80\x94the other is Uzbekistan. It is the only country with a predominantly German-speaking population that does not share a border with the Federal Republic of Germany.', 'id': 2846}"
When did he become a professor?,1820,When did he become a professor?,1820,5,"{'passage': 'In 1820 he became a professor of physics at the University of Turin. (Note: After the downfall of Napoléon in 1815, northern Italy was under the rule of the Kingdom of Piedmont-Sardinia and Turin was the capital of this kingdom.)', 'id': 730}
---
{'passage': 'He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures.', 'id': 86}
---
{'passage': 'Soon there after he dedicated himself to the study of physics and mathematics (then called positive philosophy), and in 1809 started teaching them at a liceo (high school) in Vercelli (where his family had some properties).', 'id': 728}
---
{'passage': 'He graduated Phi Beta Kappa and magna cum laude (22nd of 177) from Harvard in 1880, and entered Columbia Law School.  When offered a chance to run for New York Assemblyman in 1881, he dropped out of law school to pursue his new goal of entering public life. Brands, pp 123â\x80\x9329', 'id': 2891}
---
{'passage': 'However, the university says that he did not receive a degree and  did not continue beyond the first semester of his third year, during which he stopped attending lectures.  Nikola Tesla: the European Years, D. Mrkich ', 'id': 1387}"
Can otters survive in cold water?,yes,Can otters survive in cold water?,They do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,5,"{'passage': 'Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. For example Eurasian otters must eat 15% of their body-weight a day, and sea otters, 20 to 25%, depending on the temperature. In water as warm as 10Â°C an otter needs to catch 100 g of fish per hour to survive.  Most species hunt for 3 to 5 hours a day, and nursing mothers up to 8 hours a day.', 'id': 1917}
---
{'passage': 'Otters are very active, chasing prey in the water or searching the beds of rivers, lakes or the sea.  Most species live beside water, entering it mainly to hunt or travel, otherwise spending much of their time on land to avoid their fur becoming waterlogged.  The sea otter lives actually in the sea.', 'id': 1919}
---
{'passage': 'Unlike most marine mammals such as (seals or whales), sea otters do not have a layer of insulating blubber. As with other species of otter, they rely on a layer of air trapped in their fur, which they keep topped up by blowing into the fur from their mouths.  They spend most of their time in the water, whereas other otters spend much of their time on land.', 'id': 1927}
---
{'passage': 'Sea otters (Enhydra lutris) live along the Pacific coast of North America.  Their historic range included shallow waters of the Bering Strait and Kamchatka, and as far south as Japan. Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. By the time the 1911 Fur Seal Treaty gave them protection, so few sea otters remained that the fur trade had become unprofitable.', 'id': 1925}
---
{'passage': 'The northern river otter (Lontra canadensis) became one of the major animals hunted and trapped for fur in North America after European contact. As one of the most playful, curious, and active species of otter, they have become a popular exhibit in zoos and aquaria, but unwelcome on agricultural land because they alter river banks for access, sliding, and defense . River otters eat a variety of fish and shellfish, as well as small land mammals and birds.  They grow to 1 m (3 to 4 feet) in length and weigh from 5 to 15 kg (10 to 30 pounds).', 'id': 1922}"
Did his mother die of pneumonia?,no,Did his mother die of pneumonia?,Yes.,5,"{'passage': ""Alice Hathaway Lee Roosevelt (July 29, 1861 in Chestnut Hill, Massachusetts â\x80\x93 February 14 1884 in Manhattan, New York) was the first wife of Theodore Roosevelt and mother of their only child together, Alice Lee Roosevelt.  Alice Roosevelt died of an undiagnosed case of Bright's Disease two days after Alice Lee was born.  Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884.  After the simultaneous deaths of his mother and wife, Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory."", 'id': 2894}
---
{'passage': ""As Ford approached his ninetieth year, he began to experience significant health problems associated with old age. He suffered two minor strokes at the 2000 Republican National Convention, but made a quick recovery.  Gerald Ford recovering after strokes. BBC, August 2, 2000.  Retrieved on December 31, 2006.  In January 2006, he spent 11 days at the Eisenhower Medical Center near his residence at Rancho Mirage, California, for treatment of pneumonia.  Former President Ford, 92, hospitalized with pneumonia. Associated Press, January 17, 2006. Retrieved on October 19, 2007.  On April 23, President George W. Bush visited Ford at his home in Rancho Mirage for a little over an hour. This was Ford's last public appearance and produced the last known public photos, video footage and voice recording. While vacationing in Vail, Colorado, he was hospitalized for two days in July, 2006 for shortness of breath.  Gerald Ford released from hospital. Associated Press, July 26, 2006. Retrieved on December 31, 2006.  On August 15 Ford was admitted to St. Mary's Hospital of the Mayo Clinic in Rochester, Minnesota for testing and evaluation. On August 21, it was reported that he had been fitted with a pacemaker. On August 25, he underwent an angioplasty procedure at the Mayo Clinic, according to a statement from an assistant to Ford. On August 28, Ford was released from the hospital and returned with his wife Betty to their California home. On October 13, he was scheduled to attend the dedication of a building of his namesake, the Gerald R. Ford School of Public Policy, but due to poor health and on the advice of his doctors he did not attend, much to his personal disappointment. The previous day, on October 12, however, Ford entered the hospital yet again for undisclosed tests at the Eisenhower Medical Center;  Former President Ford in hospital for tests. Associated Press via CNN  he was released on October 16. As a result of his frail health it was announced on October 17 that Ford was considering selling his home near Vail due to the uncertainty as to whether he would be able to return. Those that saw him during the last five months of his life said that he looked frailer than ever and that it appeared his body was slowly failing him, and by November 2006 he was confined to a hospital bed in his study.  CNN Transcript December 26, 2006 11:00PM CST  On November 12, 2006 upon surpassing Ronald Reagan to become the longest lived president in US history he released his last public statement:"", 'id': 2096}
---
{'passage': 'Soon thereafter, Tesla hastened from Paris to his mother\'s side as she lay dying, arriving hours before her death in April, 1892.  Seifer, ""Wizard: The Life and Times of Nikola Tesla"" - page 94 ', 'id': 1396}
---
{'passage': 'On January 6, 1919, Roosevelt died in his sleep of a coronary embolism at Oyster Bay, and was buried in nearby Youngs Memorial Cemetery. Upon receiving word of his death, his son, Archie, telegraphed his siblings simply, ""The old lion is dead."" Dalton, (2002) p. 507  Woodrow Wilson\'s vice president at the time Thomas R. Marshall said of his death ""Death had to take Roosevelt sleeping, for if he had been awake, there would have been a fight."" Manners, William. TR and Will: A Friendship that Split the Republican Party. New York: Harcourt, Brace & World, Inc., 1969.', 'id': 3002}
---
{'passage': 'He died suddenly of a heart attack at his home in Northampton, ""The Beeches,"" at 12:45 p.m., January 5 1933. Greenberg, 154â\x80\x93155  Shortly before his death, Coolidge confided to an old friend: ""I feel I am no longer fit in these times."" Sobel, 410', 'id': 458}"
Can women legally drive in Qatar?,Yes.,Can women legally drive in Qatar?,"Women can legally drive in Qatar, whereas they may not in Saudi Arabia.",5,"{'passage': 'When contrasted with other Arab states such as Saudi Arabia, for instance, Qatar has comparatively liberal laws, but is still not as liberal as some of its neighbours like UAE or Bahrain. Women can legally drive in Qatar, whereas they may not in Saudi Arabia.', 'id': 2582}
---
{'passage': 'The country has undergone a period of liberalization and modernisation after the current Emir of Qatar, Hamad bin Khalifa Al-Thani, came to power after becoming Emir in place of his father. Under his rule, Qatar became the first Arab country in the Persian Gulf where women gained the right to vote   The role of Saudi women  as well as holding senior positions in government.  Also, women can dress mostly as they please in public (although in practice local Qatari women generally don the black abaya). Before the liberalisation, it was taboo for men to wear shorts in public. The laws of Qatar tolerate alcohol to a certain extent. However, public bars and nightclubs in Qatar operate only in expensive hotels and clubs, much like in the UAE and Bahrain, though the number of establishments has yet to equal that of UAE. Qatar has further been liberalised due to the 15th Asian Games, but is cautious of becoming too liberal in their law making the country a viable weekend immigration from their western neighbour. Overall Qatar has yet to reach the more western laws of UAE or Bahrain, and though plans are being made for more development, the government is cautious.', 'id': 2583}
---
{'passage': 'Since 1995, Emir Hamad bin Khalifa Al Thani has ruled Qatar, seizing control of the country from his father Khalifa bin Hamad Al Thani while the latter vacationed in Switzerland. Under Emir Hamad, Qatar has experienced a notable amount of sociopolitical liberalization, including the enfranchisement of women, a new constitution, and the launch of Al Jazeera, a leading English and Arabic news source, which operates a website and satellite television news channel. Qatar ranks as the ninth richest country in the world per capita .', 'id': 2548}
---
{'passage': ""Expatriates form the majority of Qatar's residents. The petrochemical industry has attracted people from all around the world. Most of the expatriates come from South Asia and from non-oil-rich Arab states. Because a large percentage of the expatriates are male, Qatar has the most heavily skewed sex ratio in the world, with 1.88 males per female ."", 'id': 2575}
---
{'passage': ""The Emir's second wife, Her Highness Sheikha Mozah Bint Nasser Al-Missned, has been instrumental in new education initiatives in Qatar. She chairs the Qatar Foundation, sits on the board of Qatar's Supreme Education Council, and is a major driving force behind the importation of western expertise into the education system, particularly at the college level."", 'id': 2586}"
What is the official language of Romania?,Romanian.,Romania is a country in the European Union. What is the official language of Romania?,Romanian,5,"{'passage': ""The official language of Romania is Romanian, an Eastern Romance language related to Italian, French, Spanish, Portuguese and Catalan. Romanian is spoken as a first language by 91% of the population, with Hungarian and Romani being the most important minority languages, spoken by 6.7% and 1.1% of the population, respectively.  Until the 1990s, there was also a substantial number of German-speaking Transylvanian Saxons, even though many have since emigrated to Germany, leaving only 45,000 native German speakers in Romania. In localities where a given ethnic minority makes up more than 20% of the population, that minority's language can be used in the public administration and justice system, while native-language education and signage is also provided. English and French are the main foreign languages taught in schools. English is spoken by 5 million Romanians, French is spoken by 4-5 million, and German, Italian and Spanish are each spoken by 1-2 million people.   Outsourcing IT Ã®n RomÃ¢nia, Owners Association of the Software and Service Industry, retrieved November 13 2005  Historically, French was the predominant foreign language spoken in Romania, even though English has since superseded it. Consequently, Romanian English-speakers tend to be younger than Romanian French-speakers. Romania is, however, a full member of La Francophonie, and hosted the Francophonie Summit in 2006.   Chronology of the International Organization La Francophonie  German has been taught predominantly in Transylvania, due to traditions tracing back to the Austro-Hungarian rule in this province."", 'id': 3104}
---
{'passage': 'Romania has been a member of the European Union since January 1 2007, and has the ninth largest territory in the EU and with 22 million people      it has the 7th largest population among the EU member states. Its capital and largest city is Bucharest (   ), the sixth largest city in the EU with almost 2.5 million people. In 2007, Sibiu, a large city in Transylvania, was chosen as European Capital of Culture.    Romania joined NATO on March 29, 2004, and is also a member of the Latin Union, of the Francophonie and of OSCE.', 'id': 3048}
---
{'passage': 'Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.', 'id': 3047}
---
{'passage': 'Romania has its unique culture, which is the product of its geography and of its distinct historical evolution. Like Romanians themselves, it is fundamentally defined as the meeting point of three regions: Central Europe, Eastern Europe, and the Balkans, but cannot be truly included in any of them.  ROMANIA - CULTURE  The Romanian identity formed on a substratum of mixed Roman and quite possibly Dacian elements,    with many other influences. During late Antiquity and the Middle Ages, the major influences came from the Slavic peoples who migrated and settled in nearby Bulgaria, Serbia, Ukraine and eventually Russia;  from medieval Greeks and the Byzantine Empire;  from a long domination by the Ottoman Empire;  from the Hungarians;  and from the Germans living in Transylvania. Modern Romanian culture emerged and developed over roughly the last 250 years under a strong influence from Western culture, particularly French  and German culture.', 'id': 3129}
---
{'passage': ""Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.  The president is elected by popular vote, and resides at Cotroceni Palace. Since the constitutional amendment of 2003, the president's term is five years (previously it was four).  The Romanian Government, which is based at Victoria Palace, is headed by a prime minister, who appoints the other members of his or her cabinet and who is nearly always the head of the party or coalition that holds a majority in the parliament. If, however, none of the parties hold 50% + 1 of the total seats in parliament, the president will appoint the prime minister. Before beginning its term, the government is subject to a parliamentary vote of approval."", 'id': 3140}"
What is the most extensively celebrated holiday?,Christmas,What is the most widely celebrated holiday?,Christmas,5,"{'passage': ""All official holidays in Finland are established by acts of Parliament. The official holidays can be divided into Christian and secular holidays, although some of the Christian holidays have replaced holidays of pagan origin. The main Christian holidays are Christmas, Epiphany, Easter, Ascension Day, Pentecost, and All Saints Day. The secular holidays are New Year's Day, May Day, Midsummer Day, and the Independence Day. Christmas is the most extensively celebrated holiday: usually at least 23rd to 26th of December are holidays."", 'id': 1707}
---
{'passage': 'Egypt is famous for its many festivals and religious carnivals, also known as mulids or Mawlid. They are usually associated with a particular Coptic or Sufi saint, but are often celebrated by all Egyptians irrespective of creed or religion. Ramadan has a special flavor in Egypt, celebrated with sounds, lights (local lanterns known as fawanees) and much flare that many Muslim tourists from the region flock to Egypt during Ramadan to witness the spectacle. The ancient spring festival of Sham en Nisim (Coptic:   shom en nisim) has been celebrated by Egyptians for thousands of years, typically between the Egyptian months of Paremoude (April) and Pashons (May), following Easter Sunday.', 'id': 932}
---
{'passage': ""In addition to this, all Sundays are official holidays, but they are not as important as the special holidays. The names of the Sundays follow the liturgical calendar and they can be categorised as Christian holidays. When the standard working week in Finland was reduced to 40 hours by an act of Parliament, it also meant that all Saturdays became a sort of de facto public holidays, though not official ones. Easter Sunday and Pentecost are Sundays that form part of a main holiday and they are preceded by a kind of special Saturdays. Retail stores are prohibited by law from doing business on Sundays, except during the summer months (May through August) and in the pre-Christmas season (November and December). Business locations that have less than 400 square metres of floor space are allowed Sunday business throughout the year, with the exception of official holidays and certain Sundays, such as Mother's Day and Father's Day."", 'id': 1708}
---
{'passage': ""Abraham Lincoln's birthday, February 12, was formerly a national holiday, now commemorated as Presidents' Day. However, it is still observed in Illinois and many other states as a separate legal holiday, Lincoln's Birthday. A dozen states have legal holidays celebrating the third Monday in February as 'Presidents' Day' as a combination Washington-Lincoln Day."", 'id': 387}
---
{'passage': ""Throughout the summer there are a range of international festivals, markets and performing arts including song and dance. The receding snow and everlasting sunlight also provide an opportunity for an array of outdoor activities. These activities range from golf, fishing, yachting, lake cruises, hiking, kayaking among many others. At Finland's northernmost point, in the heart of summer, the Sun does not completely set for 73 consecutive days. Wildlife is abundant in Finland. Bird-watching is popular for those fond of flying fauna, however hunting is also popular. Elk, reindeer and hare are all common game in Finland. The sport is highly regulated and also helps the economy."", 'id': 1673}"
What animals are related to otters?,"weasels, polecats, and badgers",What animals are related to otters?,"Weasels, polecats, badgers, as well as others.",5,"{'passage': 'Otters are amphibious (or in one case aquatic) carnivorous mammals.  The otter subfamily Lutrinae forms part of the family Mustelidae, which also includes weasels, polecats, badgers, as well as others. With 13 species in 7 genera, otters have an almost worldwide distribution.', 'id': 1913}
---
{'passage': 'In some Native American cultures, otters are considered totem animals. The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19.', 'id': 1934}
---
{'passage': 'Otters are playful animals, for example sliding repeatedly down snowy slopes, apparently from sheer enjoyment.  Different species vary in their social structure, with some being largely solitary, while others live in groups   in a few species these groups may be fairly large.', 'id': 1920}
---
{'passage': 'The northern river otter (Lontra canadensis) became one of the major animals hunted and trapped for fur in North America after European contact. As one of the most playful, curious, and active species of otter, they have become a popular exhibit in zoos and aquaria, but unwelcome on agricultural land because they alter river banks for access, sliding, and defense . River otters eat a variety of fish and shellfish, as well as small land mammals and birds.  They grow to 1 m (3 to 4 feet) in length and weigh from 5 to 15 kg (10 to 30 pounds).', 'id': 1922}
---
{'passage': 'Most otters have fish as the primary item in their diet, supplemented by frogs, crayfish and crabs.  Some are expert at opening shellfish, and others will take any available small mammals or birds.  This prey-dependence leaves otters very vulnerable to prey depletion.', 'id': 1918}"
When did James Monroe graduate from William and Mary?,1776,When did James Monroe graduate from William and Mary?,1776,5,"{'passage': 'The Presidentâ\x80\x99s parents, father Spence Monroe (ca. 1727 1774), a woodworker and tobacco farmer, and mother Elizabeth Jones Monroe had significant land holdings but little money. Like his parents, he was a slaveholder. Born in Westmoreland County, Virginia, Monroe went to school at Campbelltown Academy and then the College of William and Mary, both in Virginia.  After graduating from William and Mary in 1776, Monroe fought in the Continental Army, serving with distinction at the Battle of Trenton, where he was shot in his left shoulder. He is depicted holding the flag in the famous painting of Washington Crossing the Delaware. Following his military service, he practiced law in Fredericksburg, Virginia. James Monroe married Elizabeth Kortright on February 16, 1786 at the Trinity Church in New York.', 'id': 2507}
---
{'passage': 'James Monroe (April 28, 1758 â\x80\x93 July 4, 1831) was the fifth President of the United States (1817-1825). His administration was marked by the acquisition of Florida (1819); the Missouri Compromise (1820), in which Missouri was declared a slave state; and the profession of the Monroe Doctrine (1823), declaring U.S. opposition to European interference in the Americas.', 'id': 2506}
---
{'passage': ""Monroe had racked up many debts during his years of public life. As a result, he was forced to sell off his Highland Plantation (now called Ash Lawn-Highland; it is owned by his alma mater, the College of William and Mary, which has opened it to the public). Throughout his life, he was not financially solvent, and his wife's poor health made matters worse.  For these reasons, he and his wife lived in Oak Hill until Elizabeth's death on September 23, 1830."", 'id': 2521}
---
{'passage': ""When his presidency expired on March 4, 1825, James Monroe lived at Monroe Hill on the grounds of the University of Virginia.  This university's modern campus was Monroe's family farm from 1788 to 1817, but he had sold it in the first year of his presidency to the new college.  He served on the college's Board of Visitors under Jefferson and then under the second rector and another former President James Madison, until his death."", 'id': 2520}
---
{'passage': 'Monroe was elected to the Virginia House of Delegates in 1782 and served in the Continental Congress from 1783 to 1786. As a youthful politician, he joined the anti-Federalists in the Virginia Convention which ratified the Constitution, and in 1790, was elected United States Senator.', 'id': 2508}"
Is the Adephaga suborder larger than the Polyphaga suborder?,no,Is the Adephaga suborder larger than the Polyphaga suborder?,"Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.",5,"{'passage': 'These suborders diverged in the Permian and Triassic. Their phylogenetic relationship is uncertain, with the most popular hypothesis being that Polyphaga and Myxophaga are most closely related, with Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.', 'id': 2422}
---
{'passage': '* Polyphaga is the largest suborder, containing more than 300,000 described species in more than 170 families, including rove beetles (Staphylinidae), scarab beetles (Scarabaeidae), blister beetles (Meloidae), stag beetles (Lucanidae) and true weevils (Curculionidae). These beetles can be identified by the cervical sclerites (hardened parts of the head used as points of attachment for muscles) absent in the other suborders.', 'id': 2418}
---
{'passage': ""* Adephaga contains about 10 families of largely predatory beetles, includes ground beetles (Carabidae), Dytiscidae and whirligig beetles (Gyrinidae). In these beetles the testes are tubular and the first abdominal sternum (a plate of the exoskeleton) is divided by the hind coxae (the basal joints of the beetle's legs)."", 'id': 2419}
---
{'passage': 'The four extant suborders of beetle are these:', 'id': 2417}
---
{'passage': 'But size plasticity seems to have been great at this initial stage of penguin radiation: on Seymour Island, Antarctica, for example, around ten known species of penguins ranging from medium to huge size apparently coexisted some 35 mya during the Priabonian (Late Eocene) (Jadwiszczak 2006). It is not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage, or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae - were they considered valid -, or whether there was a wide size range present in the Palaeeudyptinae as delimited as usually done these days (i.e., including Anthropornis nordenskjoeldi) (Ksepka et al. 2006).  The oldest well-described giant penguin, the 5-foot-tall Icadyptes salasi, actually occurred as far north as northern Peru about 36 mya.', 'id': 981}"
What have been inhabited for millennia by aboriginal peoples?,The lands,What have been inhabited for millennia by aboriginal peoples?,The lands,5,"{'passage': 'The lands have been inhabited for millennia by aboriginal peoples. Beginning in the late 15th century, British and French expeditions explored and later settled the Atlantic coast. France ceded nearly all of its colonies in North America in 1763 after the Seven Years War.', 'id': 2272}
---
{'passage': ""Aboriginal and Inuit tradition holds that the First Peoples inhabited parts of Canada prehistorically. Archaeological studies support a human presence in northern Yukon from 26,500 years ago, and in southern Ontario from 9,500 years ago.       Europeans first arrived when the Vikings settled briefly at L'Anse aux Meadows circa AD 1000. The next Europeans to explore Canada's Atlantic coast included John Cabot in 1497  for England     and Jacques Cartier in 1534 for France   ; seasonal Basque whalers and fishermen would subsequently exploit the region between the Grand Banks and Tadoussac for over a century."", 'id': 2279}
---
{'passage': '# ""..it is of incalculable importance that America, Australia, and Siberia should pass out of the hands of their red, black, and yellow aboriginal owners, and become the heritage of the dominant world races"".', 'id': 2908}
---
{'passage': 'Fossilized remains of Homo erectus, popularly known as the ""Java Man"", suggest the Indonesian archipelago was inhabited two million to 500,000 years ago.  ', 'id': 757}
---
{'passage': 'Kangaroos have few natural predators. The Thylacine, considered by palaeontologists to have once been a major natural predator of the kangaroo, is now extinct. Other extinct predators included the Marsupial Lion, Megalania and the Wonambi. However, with the arrival of humans in Australia at least 50,000 years ago and the introduction of the dingo about 5,000 years ago, kangaroos have had to adapt.   The mere barking of a dog can set a full-grown male boomer into a wild frenzy.   Wedge-tailed Eagles and other raptors usually eat kangaroo carrion. Goannas and other carnivorous reptiles also pose a danger to smaller kangaroo species when other food sources are lacking.', 'id': 1745}"
What do economy and law have in common?,(not sure how to answer this),What do economy and law have in common?,links,5,"{'passage': 'Economy and law links', 'id': 3161}
---
{'passage': 'Common law prevails everywhere except in Quebec, where civil law predominates. Criminal law is solely a federal responsibility and is uniform throughout Canada. Law enforcement, including criminal courts, is a provincial responsibility, but in rural areas of all provinces except Ontario and Quebec, policing is contracted to the federal Royal Canadian Mounted Police (RCMP).', 'id': 2308}
---
{'passage': ';Government and law', 'id': 2365}
---
{'passage': ""It was Newtonâ\x80\x99s conception of the universe based upon Natural and rationally understandable laws that became the seed for Enlightenment ideology. Locke and Voltaire applied concepts of Natural Law to political systems advocating intrinsic rights; the physiocrats and Adam Smith applied Natural conceptions of psychology and self-interest to economic systems and the sociologists criticised the current social order for trying to fit history into Natural models of progress.  Monboddo and Samuel Clarke resisted elements of Newton's work, but eventually rationalised it to conform with their strong religious views of nature."", 'id': 584}
---
{'passage': ""The justice system is independent of the other branches of government, and is made up of a hierarchical system of courts culminating in the High Court of Cassation and Justice, which is the supreme court of Romania.  High Court of Cassation and Justice - Presentation  There are also courts of appeal, county courts and local courts. The Romanian judicial system is strongly influenced by the French model,  CIA Factbook 2000 - Legal system  considering that it is based on civil law and is inquisitorial in nature. The Constitutional Court (Curtea ConstituÅ£ionalÄ\x83) is responsible for judging the compliance of laws and other state regulations to the Romanian Constitution, which is the fundamental law of the country. The constitution, which was introduced in 1991, can only be amended by a public referendum; the last amendment was in 2003. The Romanian Constitutional Court structure is based on the Constitutional Council of France, being made up of nine judges who serve nine-year, non-renewable terms.  Following the 2003 constitutional amendment, the court's decisions cannot be overruled by any majority of the parliament."", 'id': 3143}"
